Timestamp,RSRP,RSSI,SNR
1555081499.70853,-89.8,-83.1,10.6
1555124702.50526,-87.8,-81.3,12.6
1555167903.11313,-61,-55.1,17.3
1555211110.83958,-68,-61.6,12.2
1555254312.63983,-97.3,-91,13.7
1555297512.78601,-81,-74.9,16.4
1555340717.06551,-94.7,-87.7,10.2
1555383920.01666,-80.9,NaN,NaN
1555427125.92361,-86.1,-80.2,19.2
1555470331.58371,-86.4,-80.5,20.5
1555513540.39819,-86.8,-81,20.9
1555556740.98938,-89.6,-83.7,19.1
1555599944.93132,-89,-83.1,19.3
1555643145.25839,-88.3,-82.5,21.5
1555686345.50306,-87.5,-81.8,21.5
1555729553.34677,-88,-81,21
1555772755.13879,-89.2,-83.4,19.6
1555815957.46218,-88.1,-82.3,20.5
1555859164.1958,-91.5,-85.5,17.5
1555902366.19263,-91.2,-81.7,17.9
1555945570.95994,-89.2,-83.3,18.2
1555988775.36875,-89.5,-79.6,18.8
1556031980.83072,-88.7,-82.8,18.6
1556075181.91242,-89.3,-83.4,18.9
1556118390.3006,-88.8,-83,20.6
1556161596.5775,-89.3,-83.4,19.7
1556204802.75568,-89,-83.2,21.4
1556248008.3052,-83.4,NaN,NaN
1556291215.4089,-89.6,-81.3,18.8
1556334417.81446,-89.2,-83.3,18.7
1556377620.74035,-89.1,-83.2,19.6
1556420826.16566,-87.9,-82.1,21.8
1556464027.70869,-88.5,-82.6,18.1
1556507228.56895,-89.1,-83.1,18
1556550435.65542,-89.3,-83.5,19.6
1556593642.8332,-89.5,-83.6,19.4
1556636844.61311,-87.8,-78.9,18.5
1556680050.00022,-89.5,-83.5,17.1
1556723257.70311,-87,-81,17.6
1556766459.06944,-79.5,NaN,NaN
1556809666.57679,-86,-80.2,21.6
1556852867.5544,-84.8,-79,21.1
1556896075.88638,-86.1,-80.2,21.6
1556939277.42335,-87.7,-81.9,21.5
1556982477.82845,-89.3,-83.4,19.7
1557025679.3424,-91.8,-85.9,18.2
1557068881.74847,-87,-81.2,20.2
1557112086.47895,-87.5,-81.6,18.7
1557155294.40399,-87.3,-81.5,21.3
1557198497.39647,-89.4,-80.4,18.1
1557241704.20906,-87,-81.2,21.8
1557284912.55373,-86.9,-81.1,22
1557328119.46228,-89.1,-83.2,18.4
1557371325.93319,-87.3,-81.4,19
1557414529.78732,-87.4,-81.6,20
1557457730.7808,-89,-83,17.6
1557500933.70924,-87.5,-81.5,17.5
1557544135.28002,-88.4,-82.5,18.8
1557587339.54883,-89.6,-79.3,16.3
1557630540.46294,-93.6,-87.5,15.2
1557673745.41361,-90.1,-84.2,19
1557716947.60809,-88.7,-82.9,21.2
1557760147.78772,-93.6,-87.6,16.7
1557803352.19998,-89.7,-83.8,19.6
1557846559.86813,-87.5,-81.7,19.7
1557889765.51025,-89,-83.1,19.5
1557932974.39712,-87.8,-82,20.2
1557976179.40108,-90.4,-84.4,17
1558019384.0217,-90.7,-84.6,16.7
1558062589.69713,-89.5,-83.6,16.8
1558105798.21176,-89.8,-84,18.8
1558149005.65364,-89.6,-83.6,16.6
1558192211.76419,-87.8,-81.8,16.6
1558235419.59979,-86.8,-80.8,18.1
1558278620.5457,-87.5,-81.5,18.3
1558321823.29139,-86.8,-80.9,17.7
1558365024.7084,-87.1,-81.2,18.8
1558408229.25703,-87.1,-81.2,19.4
1558451435.17044,-88.9,-83,17.4
1558494638.04163,-85.5,-79.7,20.3
1558537845.44212,-88.6,-82.7,18.6
