Timestamp,RSRP,RSSI,SNR
1555378443.44388,-54.4,-48.7,21.8
1555400044.49635,-54.1,-48.3,21.5
1555421652.6755,-55.8,-50,17.6
1555443257.30514,-55.3,-49.3,16.6
1555464860.97714,-55.7,-49.8,18
1555486464.18859,-55.5,-49.5,16.6
1555508067.10022,-55.5,-49.6,17.9
1555529668.95698,-55.8,-50,19.2
1555551271.17625,-55.9,-48.7,16.7
1555572874.97562,-55.5,-49.7,19.9
1555594480.47468,-55.5,-49.6,18.7
1555616087.26623,-56.3,-48,18.4
1555637691.8432,-54.1,-47.8,15.2
1555659298.92958,-56.3,-50.3,17.6
1555680907.08029,-55.2,-49.3,19.8
1555702507.28891,-55.2,-49.3,19.8
1555724112.77741,-53.5,-47.6,17.6
1555745721.75392,-54,-48.2,21.3
1555767329.54547,-54,-48.2,20.7
1555788934.13431,-54.1,-48.2,20.4
1555810536.32352,-53.7,-47.8,21.3
1555832136.94817,-53.4,-44.9,21.4
1555853744.05237,-53.6,-47.8,20.7
1555875350.05761,-53.6,-47.8,20.7
1555896956.11379,-54.8,-48.8,17.3
1555918564.98819,-53.7,-47.9,22.7
1555940167.33026,-53.7,-47.8,17.6
1555961773.17175,-53.4,-47.6,20.7
1555983375.74501,-54.3,-48.4,20.3
1556004979.31189,-53.9,-48.1,20.6
1556026582.07189,-53.6,-47.8,20.9
1556048182.08401,-54.1,-48.3,21.7
1556069782.67763,-54.3,-48.5,19.4
1556091390.51371,-53.5,-47.7,20.3
1556112991.57169,-53.5,-47.6,20.2
1556134598.03259,-53.8,-48,21.9
1556156206.20238,-54.2,-48.3,19.9
1556177811.78781,-53.8,-48,20.9
1556199418.5055,-53.4,-47.6,20.6
1556221019.76032,-53.3,-47.5,20.3
1556242626.78821,-54.2,-48.4,20.5
1556264230.0742,-54.5,-48.6,19.6
1556285834.51754,-54.5,-48.7,19
1556307435.79849,-54.4,-48.5,19.8
1556329038.38026,-55.1,-49.2,18.4
1556350642.43557,-54.4,-48.5,19.1
1556372249.20242,-54.2,-48.4,20.3
1556393855.74087,-54.2,-48.3,20.7
1556415456.05602,-54.2,-48.4,19.4
1556437060.21907,-54.3,-48.5,19.4
1556458661.63659,-54.2,-48.3,20.7
1556480263.025,-54.1,-48.3,20.3
1556501866.43733,-54.1,-48.3,19.5
1556523472.88654,-54,-48.1,19.3
1556545079.33339,-54.1,-48.3,20
1556566684.57052,-54.1,-48.3,21.1
1556588292.52989,-54.1,-48.3,21.1
1556609897.85199,-53.4,-47.6,21.9
1556631498.06955,-54.3,-48.4,20.9
1556653106.66161,-54.2,-48.3,19.2
1556674710.14625,-54.6,-48.7,19.5
1556696310.81135,-54.6,-48.7,19.5
1556717913.07996,-54.9,-49,19.7
1556739517.96558,-54.6,-48.5,15.8
1556761123.6848,-55.2,-49.4,19.6
1556782729.71031,-55.3,-44.6,24.6
1556804336.31646,-55,-49.1,20.4
1556825937.62731,-54.6,-48.8,20.4
1556847541.36251,-55,-49.1,20.7
1556869148.17483,-54.7,-48.8,19.6
1556890750.71883,-54.3,-48.3,16.3
1556912351.95205,-54.2,-48.3,19.8
1556933952.33125,-53.7,-47.9,22
1556955553.76362,-54.6,-45.1,21
1556977159.0685,-54,-48.1,19.2
1556998764.93268,-53.9,-48.1,21.3
1557020370.28433,-54.7,-48.9,19.8
1557041977.34525,-54.3,-48.5,20
1557063582.96739,-54.6,-48.6,18.5
1557085186.40105,-54.6,-48.8,20.5
1557106790.23953,-55,-49,16.6
1557128393.03388,-54.9,-49.1,20.9
1557149999.22508,-54.8,-48.9,19.9
1557171600.94468,-54.5,-48.5,17.4
1557193206.3528,-54.8,-48.9,20.7
1557214812.11358,-55.1,-49.2,20.4
1557236412.4018,-55,-49.1,19.5
1557258014.79703,-55.2,-49.1,16.5
1557279619.90384,-54.9,-46.1,17.4
1557301220.68815,-55,-49.2,21
1557322822.99258,-55.3,-49.4,18.2
1557344425.68978,-55.3,-49.3,16.9
1557366027.82874,-55.2,-49,15.8
1557387634.09659,-54.8,-49,19.5
1557409234.59418,-55.1,-49,15.9
1557430838.61396,-55.2,-49.4,19.5
1557452447.56864,-55.6,-49.7,18
1557474049.85558,-55.2,-49.1,17.1
1557495654.86756,-55.1,-49.2,18.6
1557517259.08181,-55.6,-49.7,19.3
1557538860.84373,-55.6,-49.7,19.3
1557560460.86833,-56,-50.1,18
1557582069.73141,-56,-50.1,18
1557603671.32923,-55.8,-49.1,19.3
1557625277.2077,-55.8,-49.1,19.3
1557646882.1022,-55.6,-49.8,19.4
1557668485.29044,-55.7,-49.6,14.6
1557690093.49734,-55.7,-49.5,15
1557711700.47085,-56.3,-50.4,16.6
1557733306.57846,-56.1,-49.9,16.7
1557754906.58315,-55.9,-50,17.2
1557776510.55914,-56,-50,17.3
1557798111.30936,-55.8,-49.9,17.3
1557819717.65055,-55.7,-49.8,17.5
1557841325.57688,-55.8,-49.9,18.3
1557862934.3278,-54.9,-48.6,14.1
1557884540.25851,-54.9,-49,18.8
1557906149.212,-55.2,-49.3,17.6
1557927753.57507,-55.1,-49.1,17.9
1557949359.2821,-55.1,-49.1,17.9
1557970960.36517,-55.4,-49.4,15.9
1557992560.54746,-55.4,-49.3,15.7
1558014165.42395,-55.8,-49.8,17.8
1558035766.92212,-55.6,-49.3,14.2
1558057370.4919,-55.5,-49.6,18
1558078977.21486,-55.5,-49.6,18
1558100585.05596,-55.8,-49.7,16
1558122188.95111,-55.7,-49.6,16.2
1558143792.83059,-55.7,-49.8,18.4
1558165394.7262,-55.3,-49.1,15.8
1558186999.88952,-55.2,-49.3,19.1
1558208607.23615,-55.3,-49.3,17.3
1558230211.53914,-55.2,-49.3,18.5
1558251816.90199,-55.1,-49.2,19.1
1558273417.84238,-54.8,-48.9,18.9
1558295023.06937,-54.8,-48.9,18.9
1558316623.97788,-54.9,-48.9,18.2
1558338228.76633,-54.4,-48.6,18.6
1558359832.37548,-54.5,-48.6,18.1
1558381433.6788,-55,-49.1,17.5
1558403042.3694,-55,-49.1,17.5
1558424644.4602,-54.9,-49,18.9
1558446248.09599,-55,-49.1,19.5
1558467853.703,-55.5,-49.6,18.4
1558489462.60442,-55.1,-49.2,19.1
1558511066.05092,-54.9,-49,20
1558532668.97402,-54.9,-49,20
1558554275.63269,-54.9,-48.8,15.9
1558575876.92556,-55.1,-49.2,18.3
1558597480.3759,-55,-49.1,19.2
1558619084.05284,-55,-49.1,19.2
1558640684.18095,-54.5,-46.3,19.6
1558662289.43605,-54.4,-44.9,17.6
1558683891.52395,-54.5,-48.7,20.1
1558705495.52995,-54.4,-48.6,20.5
1558727098.95695,-54.5,-48.6,18.4
1558748705.3383,-55,-49.1,19.4
1558770308.67056,-54.2,-48.1,16
1558791916.58708,-54.9,-49,19.7
1558813524.85779,-54.7,-48.5,15.9
1558835131.49375,-54,-48.1,19.4
1558856736.59862,-55,-49.2,19.2
1558878337.52508,-55,-49.2,19.2
1558899943.93332,-54.2,-48.3,17.4
1558921544.99925,-54.2,-48.3,18.6
1558943150.88488,-54.6,-48.7,18.6
1558964754.86516,-54.6,-48.7,18.6
1558986360.41597,-55.2,-44.5,22.1
1559007968.21389,-54.7,-48.8,19
1559029569.93126,-54.7,-48.8,19
1559051177.4926,-54.5,-48.6,19.4
1559072783.78418,-54.8,-48.8,17.4
1559094387.46639,-55,-48.8,15.4
1559115991.81868,-55,-48.9,16.5
1559137600.00299,-54.9,-49.1,18.4
1559159203.63004,-55,-49.1,18.5
1559180811.9245,-55.2,-49,16.1
1559202414.55452,-55,-46.6,19.9
1559224019.20997,-55,-49.1,18.4
1559245624.24933,-54.6,-48.8,20.1
1559267227.84697,-54.6,-48.8,20.1
1559288835.45588,-55.1,-49.3,18.6
1559310442.42145,-55.1,-49.3,18.6
1559332046.78168,-54.9,-48.7,14.9
1559353654.37012,-54.1,-48.2,19.4
